iter	Logloss
0	0.5581795146
1	0.4870046706
2	0.4259445322
3	0.4006293831
4	0.3761002428
5	0.3555798693
6	0.3422021201
7	0.3325227468
8	0.3241757937
9	0.3095919291
10	0.3028135619
11	0.2931128944
12	0.2862084776
13	0.2813793828
14	0.2735052707
15	0.2698570229
16	0.2669110891
17	0.2629595905
18	0.2608314515
19	0.257796305
20	0.2535426798
21	0.2452963354
22	0.2417919737
23	0.2393640341
24	0.2343193152
25	0.2301982337
26	0.2278822668
27	0.2246460968
28	0.2185976351
29	0.2172084003
30	0.2160435819
31	0.2139627756
32	0.2096727953
33	0.2078328642
34	0.2050408075
35	0.2039459398
36	0.2016216489
37	0.1999837422
38	0.1966214003
39	0.1950654792
40	0.1916309615
41	0.1895930981
42	0.1877796748
43	0.1859747522
44	0.1827041363
45	0.1805085655
46	0.1794537282
47	0.177639406
48	0.1761869647
49	0.1732842197
50	0.1697653673
51	0.1670984395
52	0.1647213503
53	0.1634096154
54	0.16208206
55	0.1599857639
56	0.1588903117
57	0.1567812192
58	0.1555574301
59	0.1535170159
60	0.1501110514
61	0.1477701333
62	0.145434136
63	0.14338894
64	0.1414952271
65	0.1396267413
66	0.1381557776
67	0.1365268672
68	0.1352909784
69	0.1330829599
70	0.1318535738
71	0.1296760288
72	0.1280306683
73	0.1273121935
74	0.1263304054
75	0.1243647454
76	0.123592367
77	0.122948261
78	0.1208053185
79	0.1201193233
80	0.1183201353
81	0.1170744889
82	0.1160855279
83	0.1152785169
84	0.11404846
85	0.1128616474
86	0.1119848456
87	0.1100645859
88	0.1087016922
89	0.1080022077
90	0.1071227993
91	0.1059376745
92	0.1047912187
93	0.1042096324
94	0.1032599724
95	0.1018078348
96	0.1005983706
97	0.09912799746
98	0.0981866564
99	0.09709771095
100	0.09640295337
101	0.0949469077
102	0.09414058563
103	0.09303630201
104	0.0924321085
105	0.09169327368
106	0.09094696035
107	0.08985180166
108	0.0893145757
109	0.08875293487
110	0.08786738212
111	0.08732707253
112	0.08681057944
113	0.08654764628
114	0.08558001445
115	0.08442792036
116	0.08322620989
117	0.08285449849
118	0.08180489541
119	0.08104092174
120	0.08050270223
121	0.08010930879
122	0.07938592935
123	0.07906741046
124	0.07838535429
125	0.07814838644
126	0.07759627924
127	0.07665143536
128	0.07625301804
129	0.07568581084
130	0.07532793675
131	0.07488046284
132	0.07468846016
133	0.07369816448
134	0.0731239706
135	0.07269218302
136	0.07223107854
137	0.07149111971
138	0.07090330322
139	0.07022572548
140	0.0693119951
141	0.06857772981
142	0.06837468883
143	0.06802901313
144	0.0676746225
145	0.06722099036
146	0.0667922243
147	0.0664932498
148	0.06624106295
149	0.06600073385
